Анто́н Че́хов	Anton Tjechov
Бори́с Е́льцин	Boris Jeltsin
Гла́сность	Glasnost
Фёдор Достое́вский	Fjodor Dostojevskij
Сёма	Sioma
Семён	Semjon
Ники́та Хрущёв	Nikita Chrusjtjov
Солжени́цын	Solzjenitsyn
Но́вая Земля́	Novaja Zemlja
Анто́н Па́влович Че́хов	Anton Pavlovitj Tjechov
Фёдор Миха́йлович Достое́вский	Fjodor Michajlovitj Dostojevskij
Пу́шкин	Pusjkin
Ива́нович	Ivanovitj
Пу́шкин	Pusjkin
объе́кт	objekt
Эконо́мика	Ekonomika
Ю́рий Гага́рин	Jurij Gagarin
Тюме́нь	Tiumen
жюри́	zjuri
Татья́на Никола́евна	Tatiana Nikolajevna
Мари́я Шара́пова	Maria Sjarapova
Рома́н Арка́дьевич Абрамо́вич	Roman Arkadjevitj Abramovitj

